yorum
Bugün hava gerçekten çok güzel, parkta yürüyüş yapmak iyi gelecek.
Bu makale için çok teşekkür ederim, gerçekten faydalı bilgiler var.
Toplantı saatini 14:00 olarak güncelledik, bilginize.
Sen gerçekten tam bir aptalsın, hayatımda senin kadar gerizekalı birini görmedim.
Kapa çeneni artık, senin o gereksiz fikirlerini kimse dinlemek istemiyor.
Defol git buradan, kimse seni bu grupta istemiyor zavallı herif.
Thank you for the quick response, I will review the documents tonight.
I respectfully disagree with your conclusion, but I appreciate the analysis.
Please let me know if you need any further assistance with this project.
You are an absolute idiot, shut your mouth and never post again.
Go fuck yourself, you are a disgusting waste of space.
Nobody cares about your pathetic opinion, loser.
Harika bir gün geçirmenizi dilerim, iyi çalışmalar.
Seni bulursam çok kötü yapacağım, hesabını soracağım.
Bütün yabancılar iğrençtir ve ülkelerine geri gönderilmelidir.
