yorum;V1_genel_skor;V1_seviye;V1_Toksik;V1_Ağır Toksik;V1_Müstehcen;V1_Tehdit;V1_Hakaret;V1_Kimlik Nefreti;V2_genel_skor;V2_seviye;V2_Toksik;V2_Ağır Toksik;V2_Müstehcen;V2_Tehdit;V2_Hakaret;V2_Kimlik Nefreti;V3_genel_skor;V3_seviye;V3_Toksik;V3_Ağır Toksik;V3_Müstehcen;V3_Tehdit;V3_Hakaret;V3_Kimlik Nefreti;V4_genel_skor;V4_seviye;V4_Toksik;V4_Ağır Toksik;V4_Müstehcen;V4_Tehdit;V4_Hakaret;V4_Kimlik Nefreti;V5_genel_skor;V5_seviye;V5_Toksik;V5_Ağır Toksik;V5_Müstehcen;V5_Tehdit;V5_Hakaret;V5_Kimlik Nefreti;V5_2_genel_skor;V5_2_seviye;V5_2_Toksik;V5_2_Ağır Toksik;V5_2_Müstehcen;V5_2_Tehdit;V5_2_Hakaret;V5_2_Kimlik Nefreti;V5_02_genel_skor;V5_02_seviye;V5_02_Toksik;V5_02_Ağır Toksik;V5_02_Müstehcen;V5_02_Tehdit;V5_02_Hakaret;V5_02_Kimlik Nefreti;V5_22_genel_skor;V5_22_seviye;V5_22_Toksik;V5_22_Ağır Toksik;V5_22_Müstehcen;V5_22_Tehdit;V5_22_Hakaret;V5_22_Kimlik Nefreti
Sen gerçekten tam bir aptalsın.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0319;Güvenli;0.0319;0.0058;0.0111;0.0005;0.0101;0.0035;0.0142;Güvenli;0.0142;0.0005;0.0033;0.0008;0.0023;0.0011;0.9914;Toksik;0.9914;0.0091;0.0202;0.0086;0.9771;0.0089;0.9895;Toksik;0.9895;0.0067;0.017;0.0088;0.9795;0.0104;0.7639;Toksik;0.7521;0.0268;0.0176;0.0186;0.7639;0.0166;0.7639;Toksik;0.7521;0.0268;0.0176;0.0186;0.7639;0.0166;0.7639;Toksik;0.7521;0.0268;0.0176;0.0186;0.7639;0.0166
Buralardan defol git, seni bir daha görmek istemiyorum.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.3217;Dikkat;0.3217;0.0066;0.038;0.0007;0.0502;0.0029;0.1895;Güvenli;0.1895;0.0007;0.0128;0.001;0.0088;0.0029;0.9896;Toksik;0.9896;0.0088;0.0147;0.0091;0.9805;0.0116;0.9887;Toksik;0.9887;0.0063;0.0159;0.0088;0.978;0.0101;0.5932;Dikkat;0.5674;0.0227;0.0154;0.0172;0.5932;0.0141;0.5932;Dikkat;0.5674;0.0227;0.0154;0.0172;0.5932;0.0141;0.5932;Dikkat;0.5674;0.0227;0.0154;0.0172;0.5932;0.0141
Hiçbir işi beceremeyen beceriksiz ve gerizekalının tekisin.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.007;Güvenli;0.007;0.0005;0.0023;0.0008;0.0018;0.0012;0.989;Toksik;0.989;0.0071;0.0139;0.0077;0.9797;0.0114;0.9886;Toksik;0.9886;0.006;0.013;0.0079;0.9809;0.0148;0.7709;Toksik;0.739;0.0253;0.0142;0.0194;0.7709;0.0159;0.7709;Toksik;0.739;0.0253;0.0142;0.0194;0.7709;0.0159;0.7709;Toksik;0.739;0.0253;0.0142;0.0194;0.7709;0.0159
Senden nefret ediyorum, sen iğrenç bir insansın.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0319;Güvenli;0.0319;0.0058;0.0111;0.0005;0.0101;0.0035;0.0103;Güvenli;0.0103;0.0005;0.0028;0.0009;0.0021;0.0012;0.9918;Toksik;0.9918;0.01;0.0188;0.0091;0.9806;0.0111;0.9911;Toksik;0.9911;0.007;0.0167;0.0086;0.9793;0.013;0.8817;Toksik;0.8691;0.0294;0.0192;0.0223;0.8817;0.0178;0.8817;Toksik;0.8691;0.0294;0.0192;0.0223;0.8817;0.0178;0.8817;Toksik;0.8691;0.0294;0.0192;0.0223;0.8817;0.0178
Kes sesini ve bir daha benimle sakın konuşma.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0193;Güvenli;0.0193;0.0006;0.0037;0.0012;0.0029;0.0021;0.617;Toksik;0.617;0.0003;0.0038;0.0012;0.5619;0.0026;0.7358;Toksik;0.7358;0.0006;0.0052;0.0018;0.7272;0.0018;0.1142;Güvenli;0.1142;0.0156;0.0147;0.0192;0.1083;0.0156;0.1142;Güvenli;0.1142;0.0156;0.0147;0.0192;0.1083;0.0156;0.1142;Güvenli;0.1142;0.0156;0.0147;0.0192;0.1083;0.0156
O kadar cahilsin ki seninle tartışmaya bile değmez.;0.381;Dikkat;0.3563;0.1251;0.1798;0.381;0.2593;0.132;0.0606;Güvenli;0.0606;0.0052;0.0108;0.0126;0.0095;0.0031;0.1435;Güvenli;0.1435;0.0008;0.008;0.0016;0.0082;0.0047;0.99;Toksik;0.99;0.0087;0.0157;0.0089;0.9798;0.0104;0.9872;Toksik;0.9872;0.0052;0.0132;0.0075;0.9781;0.0107;0.7461;Toksik;0.7362;0.027;0.0153;0.0205;0.7461;0.016;0.7461;Toksik;0.7362;0.027;0.0153;0.0205;0.7461;0.016;0.7461;Toksik;0.7362;0.027;0.0153;0.0205;0.7461;0.016
Umarım hayatın boyunca başarısız olur ve sürünürsün.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0083;Güvenli;0.0083;0.0005;0.0025;0.0008;0.002;0.0011;0.9425;Toksik;0.9425;0.0022;0.005;0.0046;0.9316;0.005;0.8364;Toksik;0.8364;0.0006;0.0071;0.0021;0.7456;0.0024;0.562;Dikkat;0.557;0.0341;0.027;0.0326;0.562;0.0266;0.562;Dikkat;0.557;0.0341;0.027;0.0326;0.562;0.0266;0.562;Dikkat;0.557;0.0341;0.027;0.0326;0.562;0.0266
Yalan söylemeyi bırak pislik, sana asla inanmıyorum.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0059;Güvenli;0.0059;0.0005;0.0018;0.0007;0.0016;0.001;0.9916;Toksik;0.9916;0.01;0.0176;0.0092;0.9819;0.0121;0.9892;Toksik;0.9892;0.0066;0.0145;0.0089;0.9794;0.0116;0.6332;Toksik;0.6103;0.0228;0.0152;0.0165;0.6332;0.0157;0.6332;Toksik;0.6103;0.0228;0.0152;0.0165;0.6332;0.0157;0.6332;Toksik;0.6103;0.0228;0.0152;0.0165;0.6332;0.0157
Senin gibi insanlar bu dünyaya sadece zarar veriyor.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.0223;Güvenli;0.0223;0.0004;0.0038;0.0007;0.0024;0.0013;0.9891;Toksik;0.9891;0.0074;0.0098;0.0082;0.981;0.0184;0.9784;Toksik;0.9784;0.0024;0.0096;0.0042;0.9678;0.0106;0.4011;Dikkat;0.4011;0.0213;0.017;0.0174;0.4006;0.0229;0.4011;Dikkat;0.4011;0.0213;0.017;0.0174;0.4006;0.0229;0.4011;Dikkat;0.4011;0.0213;0.017;0.0174;0.4006;0.0229
Tam bir hayal kırıklığısın, bomboş ve gereksiz bir insansın.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.2737;Güvenli;0.2737;0.0011;0.0203;0.0025;0.0121;0.0043;0.9905;Toksik;0.9905;0.01;0.0163;0.0098;0.9814;0.0107;0.9895;Toksik;0.9895;0.0074;0.0173;0.0092;0.9805;0.0105;0.8587;Toksik;0.8587;0.031;0.02;0.0237;0.8568;0.017;0.8587;Toksik;0.8587;0.031;0.02;0.0237;0.8568;0.017;0.8587;Toksik;0.8587;0.031;0.02;0.0237;0.8568;0.017
