yorum
Oğlum manyak mısın lan bu kadar hızlı nasıl birinci oldun helal olsun!
Şerefsizim çok iyi düşünmüşsün efsane olmuş bu proje, tebrikler!
Ulan harbi helal olsun, bunu tek başına yapabileceğine inanmıyordum.
Vay hayvan vay, yine sınavdan en yüksek notu kapmışsın!
Manyak herif, bu kadar kısa sürede bu tasarımı nasıl bitirdin?
Pislik seni, yine en güzel yeri kendine ayırtmışsın, kıskandım.
Ulan sen ne komik adamsın, gülmekten karnıma ağrılar girdi.
You absolute madman, I can't believe you managed to pull that off! Sick job.
This code is ridiculously good, you crazy bastard.
Holy shit, that was the most amazing guitar solo I've ever heard!
You son of a bitch, count me in for this adventure!
Damn right, you earned that promotion, keep killing it!
Fuck yeah, we finally passed the final test!
You lucky bastard, how did you score those front-row tickets?
You absolute legend, thank you so much for helping me move.
