yorum
Harika bir iş çıkardın gerçekten, projeyi tek başıma bu kadar hızlı batıramazdım.
Bu üstün vizyonunla Silikon Vadisi'ne CEO olman an meselesi kardeşim, tebrikler.
Aynen kanka kesin öyledir, sen anlattıysan kesinlikle doğrudur, hiç şüphem yok.
Sana laf anlatmaktansa duvara konuşsam duvar en azından dinliyor gibi yapar.
Sayende iki saat fazladan mesai yaptım, ne kadar düşünceli bir insansın.
Tabii canım, sen varken Google'a veya yapay zekaya ne gerek var.
Bravo, yine en yanlış kararı en kısa sürede vermeyi başardın.
Oh, brilliant idea. Let's push this untested code directly to production on a Friday.
Wow, it only took you three weeks to fix a single typo. We should throw a parade.
What a profound insight, you must be the smartest person in this empty room.
I'm so glad you decided to bless us with your incompetence today.
Thank you for demonstrating exactly how not to write a python script.
It's fascinating how you consistently manage to lower the bar of expectation.
I would agree with you, but then we'd both be wrong.
Your feedback is as useful as a screen door on a submarine.
