id,metin,etiket,sinif
1,Sen gerçekten tam bir aptalsın.,1,Toksik
2,"Buralardan defol git, seni bir daha görmek istemiyorum.",1,Toksik
3,Hiçbir işi beceremeyen beceriksiz ve gerizekalının tekisin.,1,Toksik
4,"Senden nefret ediyorum, sen iğrenç bir insansın.",1,Toksik
5,Kes sesini ve bir daha benimle sakın konuşma.,1,Toksik
6,O kadar cahilsin ki seninle tartışmaya bile değmez.,1,Toksik
7,Umarım hayatın boyunca başarısız olur ve sürünürsün.,1,Toksik
8,"Yalan söylemeyi bırak pislik, sana asla inanmıyorum.",1,Toksik
9,Senin gibi insanlar bu dünyaya sadece zarar veriyor.,1,Toksik
10,"Tam bir hayal kırıklığısın, bomboş ve gereksiz bir insansın.",1,Toksik
11,Bu zekayla nasıl hayatta kalabiliyorsun hayret ediyorum.,1,Toksik
12,Senin yüzünü görmek bile midemi bulandırıyor.,1,Toksik
13,"Defol git burdan, kimse seni burada istemiyor.",1,Toksik
14,"Sen tam bir korkaksın, asla sorumluluk alamazsın.",1,Toksik
15,Yeteneksizsin ve asla bu işte başarılı olamayacaksın.,1,Toksik
16,"Seninle konuşmak tamamen zaman kaybı, bomboş birisin.",1,Toksik
17,Kendini ne sanıyorsun bilmiyorum ama tam bir zavallısın.,1,Toksik
18,Sana nefret besliyorum ve yok olmanı istiyorum.,1,Toksik
19,"O iğrenç fikirlerini kendine sakla, bizi rahatsız etme.",1,Toksik
20,Senin gibi karaktersiz biriyle asla iş yapmam.,1,Toksik
21,"Yalancı, ikiyüzlü ve sahtekarın tekisin.",1,Toksik
22,Beynini kullanmayı ne zaman öğreneceksin merak ediyorum.,1,Toksik
23,Senin fikirlerinin bu dünyada hiçbir değeri yok.,1,Toksik
24,"Seni asla affetmeyeceğim, sen çok kötü bir insansın.",1,Toksik
25,Hiçbir şeyden anlamayan cahil bir aptalsın.,1,Toksik
26,Toplum için tamamen zararlı ve tehlikeli bir mahluksun.,1,Toksik
27,"Gereksiz konuşma, çeneni kapat ve otur yerine.",1,Toksik
28,Senden nefret eden o kadar çok insan var ki haklılar.,1,Toksik
29,"Gözümün önünden kaybol, seni görmek sinirlerimi bozuyor.",1,Toksik
30,Sen bu gruptaki en işe yaramaz ve tembel kişisin.,1,Toksik
31,"Bugün hava gerçekten çok güzel, yürüyüşe çıkalım mı?",0,Toksik Değil
32,Projenizde yaptığınız güncellemeleri çok başarılı buldum.,0,Toksik Değil
33,Bu konuda seninle aynı fikirde değilim ama görüşüne saygı duyuyorum.,0,Toksik Değil
34,Kütüphaneden aldığım kitabı yarın teslim etmem gerekiyor.,0,Toksik Değil
35,Lütfen bana bu konuyu biraz daha detaylı anlatır mısın?,0,Toksik Değil
36,Akşam yemeği için ne pişirmeyi düşünüyorsun?,0,Toksik Değil
37,"Yardımların için sana çok teşekkür ederim, çok naziksin.",0,Toksik Değil
38,Yarın sabah erken saatte toplantımız olduğunu unutmayın.,0,Toksik Değil
39,Yeni aldığın bilgisayarın performansını beğendin mi?,0,Toksik Değil
40,Hafta sonu sinemaya gitmek için biletleri şimdiden aldım.,0,Toksik Değil
41,Bu sorunu çözmek için birlikte çalışabiliriz.,0,Toksik Değil
42,Ödevimi tamamlamak için biraz daha zamana ihtiyacım var.,0,Toksik Değil
43,"Sunumunuzu dinledim, gayet bilgilendirici ve net olmuş.",0,Toksik Değil
44,"Tren saat kaçta kalkacak, bir bilginiz var mı?",0,Toksik Değil
45,"Doğum günün kutlu olsun, yeni yaşında mutluluklar dilerim.",0,Toksik Değil
46,Bu akşamki maçı hangi kanalın yayınlayacağını biliyor musun?,0,Toksik Değil
47,Sınav sonuçları önümüzdeki hafta pazartesi günü açıklanacakmış.,0,Toksik Değil
48,Bitki yetiştirmek insanı gerçekten çok rahatlatıyor.,0,Toksik Değil
49,Bana verdiğin tavsiyeler sayesinde işlerimi daha hızlı bitirdim.,0,Toksik Değil
50,"Kargo şirketinden mesaj geldi, paket bugün teslim edilecek.",0,Toksik Değil
51,Gelecek ay tatil için İzmir'e gitmeyi planlıyoruz.,0,Toksik Değil
52,"Yemek tarifi için teşekkürler, çok lezzetli oldu.",0,Toksik Değil
53,Spor yapmanın sağlığımız üzerinde çok olumlu etkileri var.,0,Toksik Değil
54,Arabanın lastiklerini kış mevsimi gelmeden değiştirmeliyiz.,0,Toksik Değil
55,Kitap okumak kelime dağarcığını ciddi oranda geliştirir.,0,Toksik Değil
56,Sabahları kahve içmeden güne başlamakta zorlanıyorum.,0,Toksik Değil
57,Yeni açılan sergiyi ziyaret etmek için sabırsızlanıyorum.,0,Toksik Değil
58,"Geçmiş olsun, umarım en kısa sürede sağlığına kavuşursun.",0,Toksik Değil
59,Bu şarkı bana çocukluğumdaki yaz tatillerini hatırlatıyor.,0,Toksik Değil
60,Toplantı odasını saat ikiye kadar rezerve ettim.,0,Toksik Değil
