yorum,toksisite_skoru,seviye,Toksik,Ağır Toksik,Müstehcen,Tehdit,Hakaret,Kimlik Nefreti
"Harika bir iş çıkardın gerçekten, projeyi tek başıma bu kadar hızlı batıramazdım, çok sağ ol.",0.0703,Güvenli,0.0686,0.0166,0.018,0.018,0.0703,0.0148
"Bu inanılmaz vizyonunla Silikon Vadisi'ne CEO olman an meselesi kardeşim, tebrik ederim.",0.1593,Güvenli,0.1574,0.0174,0.019,0.016,0.1593,0.0181
"Aynen kanka kesin öyledir, sen anlattıysan kesinlikle doğrudur, hiç şüphem yok.",0.0494,Güvenli,0.0494,0.0174,0.0186,0.0205,0.0475,0.0167
"Neyse, herkesin kapasitesi ve zeka seviyesi bu kadar sonuçta, fazla da zorlamamak lazım.",0.1754,Güvenli,0.1754,0.0185,0.0169,0.0187,0.1728,0.0158
"Maşallah, beynini kullanmamaya ant içmiş gibisin bugün.",0.3597,Dikkat,0.354,0.0205,0.0251,0.0152,0.3597,0.0288
Sana laf anlatmaktansa duvara konuşsam duvar en azından dinliyor gibi yapar.,0.1524,Güvenli,0.1524,0.0164,0.0148,0.0166,0.1508,0.0146
Bu muhteşem çözümünle sistemi ne kadar sürede çökertebiliriz sence?,0.1427,Güvenli,0.1427,0.0168,0.015,0.0202,0.1278,0.0158
"Gerçekten zekan gözlerimi yaşartıyor, bu kadarını beklemiyordum.",0.1073,Güvenli,0.1038,0.0145,0.0161,0.015,0.1073,0.017
"Bravo, yine en yanlış kararı vermeyi başardın, tebrikler.",0.0788,Güvenli,0.0784,0.0162,0.0162,0.0171,0.0788,0.0141
"Senin bu üstün eforun olmasa işler tıkırında gidecekti, teşekkürler.",0.4729,Dikkat,0.4701,0.0281,0.0309,0.0253,0.4729,0.0265
"Böyle devam et, yakında şirketi de batırırsın sen.",0.32,Dikkat,0.3199,0.025,0.0243,0.0283,0.32,0.017
"O kadar haklısın ki, haksız olduğunu söylemeye dilim varmıyor.",0.0708,Güvenli,0.0708,0.0162,0.0151,0.0186,0.0686,0.0152
"Tabii canım, sen varken Google'a ne gerek var.",0.1554,Güvenli,0.1554,0.0147,0.0143,0.0178,0.1117,0.015
