yorum,toksisite_skoru,seviye,Toksik,Ağır Toksik,Müstehcen,Tehdit,Hakaret,Kimlik Nefreti
"Thank you for the detailed article, it really helped me understand the topic better.",0.002,Güvenli,0.002,0.0006,0.0016,0.0009,0.0013,0.0011
"I disagree with your point of view, but I can see why you might think that way.",0.0027,Güvenli,0.0027,0.0005,0.0017,0.0008,0.0014,0.0009
Could you please clarify what you mean in the third paragraph?,0.0021,Güvenli,0.0021,0.0006,0.0016,0.0009,0.0014,0.0011
"The weather is really nice today, I think I'll go for a walk.",0.0036,Güvenli,0.0036,0.0003,0.0017,0.0006,0.0016,0.0009
You are killing it with these new updates! Amazing job!,0.3291,Dikkat,0.3291,0.0004,0.0172,0.0023,0.0301,0.0014
"I'm not a racist, but people who live there are so lazy sometimes.",0.6771,Toksik,0.6771,0.0002,0.0039,0.0007,0.0743,0.0137
This movie is a complete garbage and a waste of time.,0.8798,Toksik,0.8798,0.001,0.0797,0.0035,0.3416,0.0027
"You are a complete idiot, shut your mouth and never speak again.",0.997,Toksik,0.997,0.0486,0.6769,0.0136,0.96,0.0077
"Wow, you are so stupid that it physically hurts me to read your comments.",0.9933,Toksik,0.9933,0.0096,0.2331,0.0074,0.9219,0.0034
"Nobody cares about your pathetic opinion, loser.",0.9839,Toksik,0.9839,0.0024,0.0494,0.0043,0.8923,0.0045
You are such a hypocrite clown.,0.9951,Toksik,0.9951,0.009,0.2042,0.0068,0.9448,0.009
"Go f**k yourself, you absolute piece of s**t.",0.9983,Toksik,0.9983,0.3841,0.9782,0.0399,0.9544,0.0242
"Motherf****r, I can't believe how dumb your entire existence is.",0.9937,Toksik,0.9937,0.122,0.9058,0.0327,0.8572,0.0188
"Kiss my a$$, you annoying b**ch.",0.9974,Toksik,0.9974,0.2263,0.9659,0.0322,0.9144,0.0137
"All gay people should just be sent to prison, they are disgusting.",0.9921,Toksik,0.9921,0.0186,0.2624,0.0105,0.5044,0.8375
"Black people are the reason this country is failing, pack your bags and leave.",0.9606,Toksik,0.9606,0.0049,0.035,0.0062,0.1642,0.6928
Muslims are all terrorists and should be banned from entering.,0.9379,Toksik,0.9379,0.0022,0.0264,0.003,0.0915,0.6261
I know where you live and I am going to come to your house and kill you tonight.,0.8721,Toksik,0.8721,0.113,0.5276,0.126,0.5406,0.0533
I will slit your throat if you ever post something like this again.,0.839,Toksik,0.839,0.0115,0.2534,0.0263,0.2571,0.0107
Somebody should shoot you in the head to make the world a better place.,0.8268,Toksik,0.8268,0.0175,0.2087,0.0381,0.296,0.0227
