yorum,toksisite_skoru,seviye,Toksik,Ağır Toksik,Müstehcen,Tehdit,Hakaret,Kimlik Nefreti
"Thank you for the detailed article, it really helped me understand the topic better.",0.0933,Güvenli,0.0933,0.0071,0.0663,0.0043,0.0679,0.0168
"I disagree with your point of view, but I can see why you might think that way.",0.2168,Güvenli,0.2168,0.0203,0.1034,0.0101,0.1464,0.0792
Could you please clarify what you mean in the third paragraph?,0.1471,Güvenli,0.1471,0.039,0.0926,0.0103,0.0884,0.0729
"The weather is really nice today, I think I'll go for a walk.",0.5212,Dikkat,0.5212,0.1406,0.3242,0.0323,0.4934,0.1494
You are killing it with these new updates! Amazing job!,0.4679,Dikkat,0.3035,0.0644,0.1718,0.4679,0.2134,0.0733
"I'm not a racist, but people who live there are so lazy sometimes.",0.7553,Toksik,0.7553,0.1251,0.1798,0.0278,0.4175,0.6733
This movie is a complete garbage and a waste of time.,0.6038,Toksik,0.6038,0.1026,0.1798,0.0329,0.2593,0.1085
"You are a complete idiot, shut your mouth and never speak again.",0.9947,Toksik,0.9906,0.1682,0.9746,0.0329,0.9947,0.1537
"Wow, you are so stupid that it physically hurts me to read your comments.",0.9306,Toksik,0.9306,0.0696,0.6957,0.0373,0.9,0.2672
"Nobody cares about your pathetic opinion, loser.",0.9745,Toksik,0.9538,0.1037,0.1956,0.0329,0.9745,0.1278
You are such a hypocrite clown.,0.6326,Toksik,0.6326,0.1251,0.1798,0.0329,0.5721,0.132
"Go f**k yourself, you absolute piece of s**t.",0.7724,Toksik,0.5966,0.7512,0.7044,0.071,0.7724,0.1706
"Motherf****r, I can't believe how dumb your entire existence is.",0.8333,Toksik,0.7515,0.1689,0.4151,0.0329,0.8333,0.3369
"Kiss my a$$, you annoying b**ch.",0.4155,Dikkat,0.4155,0.1251,0.1798,0.0329,0.2593,0.132
"All gay people should just be sent to prison, they are disgusting.",0.9911,Toksik,0.94,0.3931,0.453,0.0209,0.9138,0.9911
"Black people are the reason this country is failing, pack your bags and leave.",0.8444,Toksik,0.4368,0.0832,0.1798,0.0156,0.2415,0.8444
Muslims are all terrorists and should be banned from entering.,0.4388,Dikkat,0.4388,0.1117,0.1798,0.0329,0.2593,0.4285
I know where you live and I am going to come to your house and kill you tonight.,0.9955,Toksik,0.7937,0.2129,0.2871,0.9955,0.38,0.132
I will slit your throat if you ever post something like this again.,0.5045,Dikkat,0.5045,0.1251,0.185,0.1116,0.3262,0.1098
Somebody should shoot you in the head to make the world a better place.,0.6794,Toksik,0.6289,0.1902,0.1798,0.6794,0.3033,0.074
