yorum;V1_genel_skor;V1_seviye;V1_Toksik;V1_Ağır Toksik;V1_Müstehcen;V1_Tehdit;V1_Hakaret;V1_Kimlik Nefreti;V2_genel_skor;V2_seviye;V2_Toksik;V2_Ağır Toksik;V2_Müstehcen;V2_Tehdit;V2_Hakaret;V2_Kimlik Nefreti;V3_genel_skor;V3_seviye;V3_Toksik;V3_Ağır Toksik;V3_Müstehcen;V3_Tehdit;V3_Hakaret;V3_Kimlik Nefreti;V4_genel_skor;V4_seviye;V4_Toksik;V4_Ağır Toksik;V4_Müstehcen;V4_Tehdit;V4_Hakaret;V4_Kimlik Nefreti;V5_genel_skor;V5_seviye;V5_Toksik;V5_Ağır Toksik;V5_Müstehcen;V5_Tehdit;V5_Hakaret;V5_Kimlik Nefreti;V5_2_genel_skor;V5_2_seviye;V5_2_Toksik;V5_2_Ağır Toksik;V5_2_Müstehcen;V5_2_Tehdit;V5_2_Hakaret;V5_2_Kimlik Nefreti;V5_02_genel_skor;V5_02_seviye;V5_02_Toksik;V5_02_Ağır Toksik;V5_02_Müstehcen;V5_02_Tehdit;V5_02_Hakaret;V5_02_Kimlik Nefreti;V5_22_genel_skor;V5_22_seviye;V5_22_Toksik;V5_22_Ağır Toksik;V5_22_Müstehcen;V5_22_Tehdit;V5_22_Hakaret;V5_22_Kimlik Nefreti
Varlığınla yokluğun arasındaki tek fark, yokluğunda ortamın daha huzurlu olması.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0896;Güvenli;0.0896;0.0007;0.009;0.0014;0.0047;0.0027;0.002;Güvenli;0.002;0.0005;0.0014;0.0008;0.0015;0.0012;0.0023;Güvenli;0.0023;0.0007;0.0011;0.0012;0.0018;0.0015;0.0518;Güvenli;0.049;0.0202;0.0144;0.0261;0.0518;0.0167;0.0518;Güvenli;0.049;0.0202;0.0144;0.0261;0.0518;0.0167;0.0518;Güvenli;0.049;0.0202;0.0144;0.0261;0.0518;0.0167
Yaptığın hiçbir şeyin ve söylediğin hiçbir lafın benim için zerre kadar önemi yok.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.2631;Güvenli;0.2631;0.0013;0.0306;0.0017;0.0105;0.0042;0.0449;Güvenli;0.0449;0.0001;0.0017;0.0005;0.0195;0.001;0.0301;Güvenli;0.0301;0.0002;0.0019;0.0006;0.0155;0.0009;0.0949;Güvenli;0.0948;0.0159;0.0144;0.0192;0.0949;0.0175;0.0949;Güvenli;0.0948;0.0159;0.0144;0.0192;0.0949;0.0175;0.0949;Güvenli;0.0948;0.0159;0.0144;0.0192;0.0949;0.0175
Senin kapasiten belli olduğu için senden daha fazlasını beklemek benim hatamdı.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0619;Güvenli;0.0619;0.0007;0.0087;0.001;0.0049;0.0025;0.8825;Toksik;0.8825;0.0011;0.0073;0.0027;0.8752;0.0029;0.7344;Toksik;0.7344;0.0004;0.0078;0.0015;0.6369;0.002;0.3098;Dikkat;0.3091;0.0215;0.0195;0.0205;0.3098;0.0183;0.3098;Dikkat;0.3091;0.0215;0.0195;0.0205;0.3098;0.0183;0.3098;Dikkat;0.3091;0.0215;0.0195;0.0205;0.3098;0.0183
Bu hayatta başarabildiğin tek şey etrafındaki insanların enerjisini tüketmek.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0117;Güvenli;0.0117;0.0043;0.0068;0.0007;0.01;0.004;0.0138;Güvenli;0.0138;0.0006;0.0038;0.001;0.0023;0.0016;0.0067;Güvenli;0.0067;0.0002;0.0012;0.0005;0.0048;0.001;0.0137;Güvenli;0.0137;0.0002;0.0013;0.0005;0.0092;0.0013;0.0684;Güvenli;0.0671;0.0158;0.015;0.0171;0.0684;0.0154;0.0684;Güvenli;0.0671;0.0158;0.015;0.0171;0.0684;0.0154;0.0684;Güvenli;0.0671;0.0158;0.015;0.0171;0.0684;0.0154
Fikirlerini kendine saklarsan bulunduğumuz bu yer kesinlikle daha yaşanabilir olur.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0657;Güvenli;0.0489;0.0022;0.0493;0.0004;0.0657;0.0123;0.2069;Güvenli;0.2069;0.0013;0.0323;0.0017;0.0125;0.0047;0.0228;Güvenli;0.022;0.0002;0.0016;0.0005;0.0228;0.002;0.0113;Güvenli;0.0113;0.0002;0.0017;0.0005;0.0089;0.0009;0.0829;Güvenli;0.0821;0.0156;0.0177;0.0177;0.0829;0.0153;0.0829;Güvenli;0.0821;0.0156;0.0177;0.0177;0.0829;0.0153;0.0829;Güvenli;0.0821;0.0156;0.0177;0.0177;0.0829;0.0153
Ağzını her açtığında ortamın seviyesi düşüyor, lütfen artık sus.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0212;Güvenli;0.0212;0.0006;0.0042;0.001;0.0028;0.0014;0.917;Toksik;0.917;0.0011;0.0103;0.0028;0.9049;0.0042;0.4994;Dikkat;0.4608;0.0004;0.0051;0.0014;0.4994;0.0018;0.1762;Güvenli;0.1726;0.0165;0.0149;0.0164;0.1762;0.0182;0.1762;Güvenli;0.1726;0.0165;0.0149;0.0164;0.1762;0.0182;0.1762;Güvenli;0.1726;0.0165;0.0149;0.0164;0.1762;0.0182
Bir daha benimle aynı ortamda bulunmamaya özen gösterirsen sevinirim.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0103;Güvenli;0.0103;0.0005;0.0025;0.0008;0.0021;0.0014;0.0019;Güvenli;0.0019;0.0005;0.0014;0.0009;0.0015;0.0013;0.003;Güvenli;0.003;0.0006;0.0011;0.001;0.0021;0.0013;0.11;Güvenli;0.11;0.0168;0.0165;0.0214;0.1026;0.016;0.11;Güvenli;0.11;0.0168;0.0165;0.0214;0.1026;0.016;0.11;Güvenli;0.11;0.0168;0.0165;0.0214;0.1026;0.016
Gölge etme başka ihsan istemem, sadece benden uzak dur.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.0916;Güvenli;0.0916;0.0007;0.0109;0.0012;0.0054;0.0024;0.9114;Toksik;0.9114;0.0007;0.0053;0.0021;0.894;0.0124;0.9424;Toksik;0.9424;0.0013;0.0081;0.003;0.9311;0.005;0.0914;Güvenli;0.0914;0.0161;0.0139;0.0223;0.0851;0.0164;0.0914;Güvenli;0.0914;0.0161;0.0139;0.0223;0.0851;0.0164;0.0914;Güvenli;0.0914;0.0161;0.0139;0.0223;0.0851;0.0164
Sana laf anlatmak duvara konuşmaktan daha yorucu, lütfen çeneni kapat.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.0276;Güvenli;0.0276;0.0059;0.0093;0.0007;0.0127;0.0041;0.1025;Güvenli;0.1025;0.0007;0.013;0.001;0.0051;0.0023;0.9879;Toksik;0.9879;0.0083;0.0137;0.0092;0.9793;0.0093;0.9883;Toksik;0.9883;0.0058;0.0151;0.008;0.9793;0.0102;0.4609;Dikkat;0.4572;0.0228;0.0139;0.0186;0.4609;0.0174;0.4609;Dikkat;0.4572;0.0228;0.0139;0.0186;0.4609;0.0174;0.4609;Dikkat;0.4572;0.0228;0.0139;0.0186;0.4609;0.0174
Lütfen bir daha adımı o ağzına alma ve acilen yolumdan çekil.;0.3563;Dikkat;0.3563;0.1251;0.1798;0.0329;0.2593;0.132;0.021;Güvenli;0.021;0.0058;0.0069;0.0007;0.0096;0.0041;0.0849;Güvenli;0.0849;0.0009;0.0107;0.0015;0.006;0.0027;0.9139;Toksik;0.9139;0.0011;0.0489;0.0029;0.7887;0.0061;0.7338;Toksik;0.7338;0.001;0.0517;0.0026;0.6142;0.0041;0.4418;Dikkat;0.4384;0.0331;0.037;0.0325;0.4418;0.028;0.4418;Dikkat;0.4384;0.0331;0.037;0.0325;0.4418;0.028;0.4418;Dikkat;0.4384;0.0331;0.037;0.0325;0.4418;0.028
